"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Merdibacter"	"Location"	"Center"	"LocationCenter"	-3.83639593659005	0	1.94502370733807	0.048562133537264	0.850581548632962	0.094765986260837	0.93843919025082	NA	"prevalence"	205	25
"Parabacteroides"	"Location"	"Center"	"LocationCenter"	6.07239627947566	0	3.09138409706792	0.0494956679578	0.850581548632962	0.0965415147690111	0.93843919025082	NA	"prevalence"	205	178
"Porphyromonas"	"TimeNW"	"TimeNW"	"TimeNW"	0.890232690279059	0	0.449132227992135	0.0474661308711138	0.850581548632962	0.0926792281623538	0.93843919025082	NA	"prevalence"	205	26
"Terrisporobacter"	"Location"	"Center"	"LocationCenter"	-4.0835443574623	0	2.09892279096956	0.051709670330021	0.850581548632962	0.051709670330021	0.830253550381854	NA	"prevalence"	205	12
"UCG-008"	"Location"	"Center"	"LocationCenter"	2.97312692179981	0	1.53718498678455	0.053096240771842	0.850581548632962	0.053096240771842	0.830253550381854	NA	"prevalence"	205	6
"UCG-008"	"TimeNW"	"TimeNW"	"TimeNW"	1.09252224287857	0	0.568377427467984	0.0545834401706094	0.855890850510277	0.0545834401706094	0.834750197091906	NA	"prevalence"	205	6
"Gordonibacter"	"Age"	"Age"	"Age"	-0.60902112518161	0.0217147887600172	0.298804616329885	0.0567760750515426	0.865625741717019	0.110328627404827	0.951333957524848	NA	"abundance"	205	24
"Izemoplasmatales"	"Sex"	"Female"	"SexFemale"	-3.12564655772023	0	1.64163059726283	0.0569116200997382	0.865625741717019	0.1105843076971	0.951333957524848	NA	"prevalence"	205	26
"UCG-003"	"Age"	"Age"	"Age"	0.831575437427169	0	0.435515681289821	0.0562099793477481	0.865625741717019	0.109260396917222	0.951333957524848	NA	"prevalence"	205	66
"[Eubacterium]_coprostanoligenes_group"	"Sex"	"Female"	"SexFemale"	0.929547921041831	0.120634302437176	0.445422501478791	0.0993897151455533	0.869012506296827	0.188901114814392	0.951333957524848	NA	"abundance"	205	186
"Agathobacter"	"Location"	"Center"	"LocationCenter"	-1.8220421573699	-0.366942410777038	0.676776679637151	0.0640020277817359	0.869012506296827	0.123907796003298	0.951333957524848	NA	"abundance"	205	142
"Akkermansia"	"Age"	"Age"	"Age"	-0.884371293355076	0.0217147887600172	0.489321601263329	0.0769455643988602	0.869012506296827	0.147970508917061	0.951333957524848	NA	"abundance"	205	141
"Alloprevotella"	"Location"	"Center"	"LocationCenter"	-8.37260579056157	-0.366942410777038	3.16499363117201	0.0797442811754313	0.869012506296827	0.118151446579623	0.951333957524848	NA	"abundance"	205	37
"Anaerofustis"	"Age"	"Age"	"Age"	1.0336651381364	0.0217147887600172	0.446670712384336	0.0753507715588789	0.869012506296827	0.145023804343239	0.951333957524848	NA	"abundance"	205	18
"Bacteroides"	"Location"	"Center"	"LocationCenter"	0.865050695010908	-0.366942410777038	0.533112352493866	0.0588725587545812	0.869012506296827	0.0588725587545812	0.849280049358137	NA	"abundance"	205	200
"Bifidobacterium"	"Age"	"Age"	"Age"	-0.893302162903691	0.0217147887600172	0.477624240326223	0.0688552142019842	0.869012506296827	0.132969387881167	0.951333957524848	NA	"abundance"	205	125
"Butyricicoccus"	"Sex"	"Female"	"SexFemale"	0.807576310265568	0.120634302437176	0.350594898717042	0.0874454127980468	0.869012506296827	0.167244125376673	0.951333957524848	NA	"abundance"	205	151
"Clostridia_UCG-014"	"Sex"	"Female"	"SexFemale"	-1.87097812648345	0.120634302437176	1.09474543243609	0.0899060184603683	0.869012506296827	0.171728944765341	0.951333957524848	NA	"abundance"	205	90
"Collinsella"	"TimeNW"	"TimeNW"	"TimeNW"	0.659281001121406	-0.0653625359736858	0.391134899676462	0.100045331786374	0.869012506296827	0.190081595160502	0.951333957524848	NA	"abundance"	205	124
"Coprobacillus"	"TimeNW"	"TimeNW"	"TimeNW"	-0.862967440691238	-0.0653625359736858	0.414876217602175	0.0870174023139665	0.869012506296827	0.166462776322462	0.951333957524848	NA	"abundance"	205	32
"Coprococcus"	"Location"	"Center"	"LocationCenter"	-1.37270708531655	-0.366942410777038	0.428346593892674	0.0789227131442355	0.869012506296827	0.151616631638424	0.951333957524848	NA	"abundance"	205	115
"Dialister"	"TimeNW"	"TimeNW"	"TimeNW"	-0.892529595029528	-0.0653625359736858	0.39913213137537	0.0762518787787755	0.869012506296827	0.146689408540258	0.951333957524848	NA	"abundance"	205	78
"Dorea"	"FIScore"	"FIScore"	"FIScore"	-0.448068112829034	-0.109824456238188	0.180141381751363	0.092895947496603	0.869012506296827	0.177162237931914	0.951333957524848	NA	"abundance"	205	138
"Faecalibacterium"	"TimeNW"	"TimeNW"	"TimeNW"	-0.605399045409957	-0.0653625359736858	0.234952510499147	0.0705959852201547	0.869012506296827	0.136208177311105	0.951333957524848	NA	"abundance"	205	177
"Family_XIII_AD3011_group"	"FIScore"	"FIScore"	"FIScore"	0.208210740173413	-0.109824456238188	0.164535178780416	0.0898508278702717	0.869012506296827	0.0860598993859095	0.93843919025082	NA	"abundance"	205	75
