	faith_pd
NW050-2	17.96819368954005
NW050-3	16.54586862857094
NW050-4	17.69662096889286
NW050-5	17.6949169970612
NW051-1	25.51130658917209
NW051-2	24.87855296073851
NW051-3	24.55399004413269
NW051-5	24.58672440909671
NW051-6	25.74875133012874
NW052-1	22.51370098111192
NW052-2	21.35246859812624
NW053-1	21.64465833832266
NW053-2	19.63599362380161
NW053-3	18.09634634174556
NW053-4	20.71404386147146
NW053-5	20.56502890204382
