Taxa_Name	NW001_3_all	NW002_2_all	NW003_3_all	NW005_3_all	NW006_3_all	NW007_2_all	NW008_1_all	NW010_2_all	NW011_2_all	NW012_3_all	NW013_3_all	NW014_1_all	NW015_3_all	NW016_1_all	NW016_2_2_all	NW016_5_all	NW018_3_2_all	NW019_3_all	NW020_3_all	NW021_3_all	NW022_4_all	NW023_3_all	NW025_3_all	NW026_3_all	NW027_2_all	NW028_3_all	NW029_3_all	NW030_2_all	NW031_3_all	NW032_3_all	NW033_2_all	NW034_3_all	NW035_2_all	NW036_3_all	NW038_3_all	NW040_3_all	NW041_2_all	NW042_3_all	NW043_3_all	NW044_1_all	NW045_3_all	NW046_5_all	NW047_4_all	NW048_5_1_all	NW049_3_all	NW050_3_all	NW051_3_all	NW052_2_all	NW053_3_all
Lachnospiraceae_unclassified	0.04481	2.37948	0.19705	6.76308	0.26633	2.36909	1.67661	0.64085	4.63305	5.35746	0	16.32951	0.19119	0	0.37751	0	2.63054	0.33326	2.67247	1.0909	7.56419	0.77847	0.05467	2.76715	0	0.26213	0.11714	0	0	0	0.08408	0	0	0.23347	2.20389	0	2.17014	2.26924	2.80738	0.46225	1.49965	2.0025	0	4.59931	15.72039	2.30861	0.09434	2.98465	3.17866
Prevotella	0.04116	0	0	0	0	10.169	2.40644	0	0	0	0	0	0	0	8.32622	0	0	1.79674	0	0	0	0	0	0	0	0	0.09472	0	0	0	0	0	0	0	2.68229	0	0	0	16.95	0	0	0	0	0	0	0	0	0	0
GGB9524	0.0294	0.13777	0	0.03703	0	0	0	0.03535	0	0.00642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01528	0	0	0	0	0	0	0	0.01555	0	0	0	0.03386	0	0	0.02314	0	0	0	0	0	0
Eubacteriales_Family_XIII_Incertae_Sedis_unclassified	0.02666	0	0	0	0.01081	0	0.23463	0	0	0.02257	0	0	0	0	0	0	0	0	0	0	0.12691	0	0	0	0	0	0	0	0	0	0	0.00539	0	0	0	0.12721	0.25657	0.02324	0	0	0.00753	0	0	0	0	0	0	0	0.09022
Hungatella	0.02481	0	0	0	0.00158	0	0.03383	0	0	0	0	0	0.03568	0	0	0	0	0	0.1994	0	0.01637	0	0	0	0	0.01758	0	0	0.06604	0.73674	0.33428	0	0	0.03929	0	0.21252	0.84963	0	0	0.01292	0	0.02597	0	0	0	0	0	0	0
Dielma	0.01553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10555	0	0	0	0	0	0	0	0	0	0	0
Escherichia	0.01344	0.49294	0.2839	0	0.2638	0	0.33846	0	0	0	0	0.06256	0	0.39556	0	0.03645	0	0	0	7.2486	0.1256	0	0.06689	0	8.57373	1.02828	1.26161	0	0.02798	0	0.27806	0	0.34093	0	0	4.64316	0	0.6346	2.16752	0.87924	0.42657	0	4.93461	0	0.36495	54.86656	0	0	20.01954
GGB3169	0.00908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dorea	0.00858	0	0.08826	0.59015	0.61905	0.34943	1.09946	0.0142	0.38828	0.40961	0	1.4837	0.431	0	0.25623	0.35292	0.1621	0.01091	0.15796	0	4.70861	0	0.06227	1.51102	0	1.62029	0	1.05072	0	0.13877	0	0.47418	0	0	0.74985	0.20561	1.04259	0	0.67802	0.0115	0.39649	0	0.19777	2.16785	0	0.23863	0.01962	1.07658	0.13173
Porphyromonas	0.00753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.61448	0	0	0	0	0	0	0	0	0	0	0.24711	0	0.0102	0	0	0	0	0	0	0.01705	0	0
Faecalibacterium	0.00189	0.40784	0.28672	1.40612	0.46632	1.01594	3.37122	0	5.59429	1.10486	2.17889	4.26694	3.44795	0	0.80009	0	2.64546	0.27018	5.69275	0.09788	6.92933	0.80644	0	4.44806	0	2.16242	0	7.2198	0.13657	1.59989	0	1.63329	0.06022	3.84789	2.91497	0	0.03424	0.09694	2.16511	0.7655	3.65282	0.06972	3.71302	0.25988	4.14589	1.83495	0.56378	0	0.96522
GGB51647	0	9.83054	0	0	0	0	0	0	5.25747	7.10785	0	0	1.29095	0	0	0	0	0	0	0	0	1.92673	0	0	0	0	0	0	0	0	0	5.7118	4.52889	0	0	0.34565	0	0	0	0	6.30593	0.59441	0	0	0	0	0.63211	0	0
GGB4611	0	7.38256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella	0	4.9104	0	0	0	0	0	0	2.31088	0	0	0	0	0	0.14231	0	0	0	0	0	0	0	0	0	2.90248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15964	0
Limosilactobacillus	0	3.80819	0	0	0	0	0	0	0.12933	0	0	0	0	0	0.44489	0	0	0.19263	0	0	0	0	0	0.23458	0	3.88112	0	0	0	0.00245	0	0	0	0	0	0	0	0.01107	0	0	0	0	0	0	0	0	0	0.10815	0
Ruminococcus	0	3.31491	1.87701	4.90382	1.7076	1.21007	1.40638	0	4.74288	2.60016	0	1.82934	1.14915	0	1.05545	0	0.86525	0.88186	3.29085	0.812	5.43375	0.03542	0	1.63058	0	0.02639	0	0.41912	0.31622	0	0.05209	1.79128	1.74878	0.41455	0.02826	1.82452	2.65559	1.02609	0.05094	4.0771	0.75418	5.85022	1.85418	0	0.94355	0.42597	2.45682	2.04365	1.71489
Negativibacillus	0	1.46319	0.94723	0	0	0	0	0	0.30988	0	0	0	0	0	0.08547	0	0	0.05314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17996	0	0	0	0	0	0.34262	0.27538	0	0	0.526	0.49342	0	0	0
Flavonifractor	0	1.10836	0	0.21511	0	0.52689	0	0	0.02384	0	0.77893	0.02784	0	0	0.00088	0	0.45346	0	0.41987	0.0076	0	0	0.29572	0.01158	0	0.01028	0	0.58107	0	0.81254	2.32697	0.00807	0.3385	0.70104	0	0	1.42957	0.4353	0	0	0.08077	0	0.43499	0.09207	0.06154	0.33681	0	0	0
GGB24132	0	1.03098	0	0.17705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB9715	0	1.0072	1.00124	0.11741	0.2832	0	0.22306	0	1.54698	0.56946	0	0.38859	0.06671	0	0.35642	0	0	0.42983	0	0.17511	0.13373	0	0	0.24219	0	0	0	0	0.4846	0	0	0	0.07809	0	0	0	0	0	0.69311	0.28036	1.64784	0	0	0	0	0.92546	0	0	2.40834
Candidatus_Borkfalkia	0	0.96981	0.28714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB3304	0	0.96017	0	0	24.81209	0	0	0	0	0	0	0	0	0	3.42138	0	0	3.45274	0	0	0	0	0	0	0	0	0	0	2.49766	0	0	0	2.30712	0	0	1.90145	0	0	3.62732	2.78001	0.19166	0	0	0	0	0	0	0	1.72015
Barnesiella	0	0.6532	0	0.10129	0	0	0	0	0	2.12198	2.00533	0.97599	3.08557	3.03374	0.6923	1.28217	0	0.68158	0	0.55672	1.86427	0.08859	4.64838	1.15975	0	0	0.03482	0	0.66478	4.46141	2.29684	0	0	0	2.3507	0	1.39851	0	0	0.47575	0	0.45695	1.45858	2.00911	0	0	0.00151	0	0
Eisenbergiella	0	0.61708	0.34766	0	0	0	0.05251	0	0	0	0	0	0.08219	0.1994	0	0.07054	0.0122	0	0.11374	0.05876	0.28358	0.01151	0.35522	0	0	0	0	0.17981	0.39353	0.57927	3.17507	0	0.65068	0.78386	0	0.69986	0.58579	0.37608	0	0.16458	0	0.6735	0	0	0	0	0.00482	0	0
GGB3537	0	0.40952	0	0	0	0	0	0	0	0	1.88144	0	0.12443	0.04309	0	0.24856	0	0	0.02941	0.02827	0	0.4788	0.10509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01331	0	0	0	0
Faecalibaculum	0	0.40105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
