Taxa_Name	NW001_3_all	NW002_2_all	NW003_3_all	NW005_3_all	NW006_3_all	NW007_2_all	NW008_1_all	NW010_2_all	NW011_2_all	NW012_3_all	NW013_3_all	NW014_1_all	NW015_3_all	NW016_1_all	NW016_2_2_all	NW016_5_all	NW018_3_2_all	NW019_3_all	NW020_3_all	NW021_3_all	NW022_4_all	NW023_3_all	NW025_3_all	NW026_3_all	NW027_2_all	NW028_3_all	NW029_3_all	NW030_2_all	NW031_3_all	NW032_3_all	NW033_2_all	NW034_3_all	NW035_2_all	NW036_3_all	NW038_3_all	NW040_3_all	NW041_2_all	NW042_3_all	NW043_3_all	NW044_1_all	NW045_3_all	NW046_5_all	NW047_4_all	NW048_5_1_all	NW049_3_all	NW050_3_all	NW051_3_all	NW052_2_all	NW053_3_all
Eubacteriaceae	0	0	0	0.0236	0.76597	1.16171	0.47123	0	2.84628	0.01189	0.33598	0.89422	0	0	0	0.32215	2.65561	0	0.15507	0.01065	2.59169	0	0.41467	2.85148	0	1.01563	0.08085	0.21765	0.00886	1.03432	0	0.97071	0	3.59288	0.16951	0.01574	0.0513	0.71877	0	0.5395	1.16565	0.05815	0.85102	0	0.42777	2.01449	0	0.54705	0
FGB74429	0	0	0	0	5.97728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.76028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31084	0	0	0	0	0	0	0	0	0
FGB10477	0	0	0	0	2.46995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96991	0	0	0	0	0	0	0.84091	0	0	0	0.5449	0	0.36001	2.78695	0	0	0.8013	1.2566	0	1.5059	0	0	0	0	0	0	0
FGB12107	0	0	0	0	1.98483	0	0	0	0	0	0	0.57315	0	0	0	0	0	0	0	0.03495	2.1391	1.0163	0	0	0	0	0	0	0	0	0	0.54156	1.90155	0	0	0	0	0.91653	0	0.30234	0.76324	0	0	0	0	0	0	0	0.51502
FGB2984	0	0	0	0	1.62737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.15771	0	0	0	0.07115	0	0	0	0	0	1.06734	3.08965	0	0	0	0	0	0	0	0	0
FGB2942	0	0	0	0	1.26773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGB1799	0	0	0	0	0.89517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGB2875	0	0	0	0	0.78555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26362	0.00754	0	0	0	0.12194	0	0.8027	0	0	0	0.22565	0	0.06343	0.47462	0	0	1.32714	0.88461	0	0.33996	0	0	0	0	0	0	0
FGB2870	0	0	0	0	0.72085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGB58251	0	0	0	0	0.69908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
